,PC1,PC2,PC3,Anomaly_Label,Anomaly_Score
25,-17431284360250.291,675464390649.938,-68797605739.0521,1,0.03582302920572955
26,-17415481236891.807,665854672017.4133,-66240922543.10098,1,0.042744646516007956
27,-17402170808621.67,656925799640.7219,-64290922893.8126,1,0.04521109040890886
28,-17390963382446.684,648139889057.8569,-61997793639.54761,1,0.041409271522799385
29,-17379410446627.287,643931417214.4263,-59696910943.720825,1,0.04255341834428622
30,-17367956891510.768,643045920565.6064,-58333097958.70909,1,0.03930020292562236
31,-17353826861650.828,645883865654.6761,-57991886923.09198,1,0.040008094591444554
32,-17338057775610.498,650945218796.2493,-58408508884.31223,1,0.03302196284064696
33,-17317166206893.64,660676745685.3643,-59954439757.71066,1,0.020403411493165824
34,-17294404946020.357,670829671485.6589,-62508448995.97643,1,0.01861782606607848
35,-17272397437240.662,669144395264.996,-65560741562.83091,1,0.0209107844206462
36,-17248704219628.598,669188254254.4636,-65862499578.374176,1,0.02834026724553501
37,-17225623636749.518,664857484943.4219,-64798394165.9738,1,0.024903442192270087
38,-17201724169632.295,660430237601.0692,-66763836106.465614,1,0.03099576525596165
39,-17175486076914.764,657702311547.7006,-68519181679.24261,1,0.024658385434383034
40,-17147084554724.96,652431493426.0673,-72624212036.51787,1,0.022192617717918417
41,-17114291841651.627,660801521412.9012,-80212887245.37668,1,0.024254938252368463
42,-17078995682180.77,667427584808.2448,-88692756278.70468,1,0.029408919502555586
43,-17030713443247.412,688601596443.2456,-98001117616.03233,1,0.029639337261543552
44,-16971963322110.059,728058007394.5111,-105509347269.9698,1,0.031361530368850365
45,-16899534234569.209,769482761758.0546,-117474318457.44876,1,0.01139486450420013
46,-16814458823000.818,818122505106.9741,-127648401682.46846,1,0.023504455956789294
47,-16715972206861.842,848461803451.9641,-130457054738.29637,1,0.019687526139505807
48,-16602977490386.367,885220892291.1577,-130090266735.5321,1,0.02295874726887509
49,-16478145077965.887,912777871030.7876,-125417364482.14513,1,0.023585044511801934
50,-16343430971689.473,926115400807.4572,-121135263897.15225,1,0.02433520524636451
51,-16186625617867.766,961924052673.0659,-111645548963.98228,1,0.027419043962305267
52,-16010869783536.568,1005198682226.0333,-106575534640.48306,1,0.038281781973403206
53,-15826171860788.51,1030514153787.3958,-110816279686.84006,1,0.028766757518076613
54,-15628272215150.47,1043911353899.6188,-104036149262.61913,1,0.022436900209315436
55,-15409782208775.11,1075046082920.0767,-88697783006.74915,1,0.021082693188206325
56,-15141088414779.096,1180037146987.7427,-77959045690.6737,1,0.01709407550190528
57,-14804383312133.85,1335308229682.6116,-82811387236.92148,1,0.014619046575951533
58,-14356842974727.69,1571756600481.609,-113040655507.83302,1,0.01748923483397563
59,-13878302369132.375,1730673053463.6807,-160991205349.98337,1,0.01174521074109125
60,-13321114955932.195,1883867355342.2236,-193596627035.21564,1,0.01628034434659026
61,-12836027078785.549,1860933925495.6384,-192944306891.53525,1,0.025394921872188225
62,-12391557525844.697,1662453955440.7104,-169323159755.26993,1,0.023863665429015912
63,-12096515250385.092,1341307948328.862,-118651659004.2483,1,0.010621754539862083
64,-11858925166162.312,978225651986.284,-55478489007.870026,1,0.008428040712552598
65,-11722791601463.57,702265025975.832,-8355418757.84974,1,0.011463245707066694
66,-11613810420046.658,477410502386.0129,30666679090.822063,1,0.014598810272002716
67,-11541165054840.623,347737281373.13,61906303254.726494,1,0.02580285990678266
68,-11485743453711.062,253150084827.04504,80424459024.89139,1,0.01926889771363438
69,-11434892773320.59,228693626618.25406,91970106875.101,1,0.02302909422096383
70,-11369914574838.887,235750025339.9851,99456416256.11824,1,0.03134458584845806
71,-11291130944795.998,266606628111.96454,86165523536.21054,1,0.014468962840951893
72,-11209056779382.512,277904121544.84546,64449046135.12689,1,0.02296914151452545
73,-11114662296573.303,288951739699.6547,46628415441.811226,1,0.02520586579122619
74,-11023423157931.645,294305566402.31976,28247949605.888885,1,0.024079256194601883
75,-10934121446708.988,275692640632.1362,6544720041.274811,1,0.02019273921782222
76,-10850163412839.574,235906313101.58066,-8056125093.216968,1,0.013821069925904206
77,-10769121715476.998,197919139508.66318,-15603295153.367895,1,0.024132439101361258
78,-10672903197576.197,215608639859.52698,-23996629477.636265,1,0.01801859595429761
79,-10597882464191.623,210508747839.5565,-44369405623.31069,1,0.010422411463973102
80,-10500255459249.777,240823240746.45203,-60955237103.03658,-1,-0.0007251600629715749
81,-10387056539438.168,295465492635.21106,-70679731241.14488,1,0.0111079343234467
82,-10283070074903.193,285045676775.4001,-107479568848.93686,1,0.01247662356371304
83,-10183430175753.617,261005627562.7312,-126307590090.38287,1,0.01960163592950609
84,-10072515064124.826,232843929890.78854,-120264906882.70714,1,0.006963322876967881
85,-9936246599262.998,294641109587.6544,-136095844861.67511,1,0.02060149619349594
86,-9752899879255.656,378779137739.0825,-178567867321.86258,1,0.0001279694228773498
87,-9443656330946.98,600517826384.3638,-259414436676.27707,-1,-0.01088362603958798
88,-9104978242581.605,747729896659.5573,-416181191804.8449,1,0.00849679085644034
89,-8663122208929.916,877257310127.4962,-587237212810.8646,-1,-0.003303577169992633
90,-8190800963821.281,992574032443.6711,-708051811237.7921,-1,-0.006003447311977217
91,-7489188450973.581,1367699506397.5347,-783619710173.5015,-1,-0.007246056349388741
92,-6791295963753.989,1733349297476.4607,-841896610320.781,-1,-0.010660481886200779
93,-5779993963123.156,2295685716575.386,-813295352380.3259,1,0.010677769521740543
94,-4902961399102.944,2663636368565.3926,-708003176029.4398,1,0.0063948721937153175
95,-4022287312945.152,2564881294978.169,-569827834742.5901,1,0.015598746399189678
96,-3097039235364.1387,2650392710165.92,-293750364697.97,1,0.02294762090689334
97,-2280290338360.4966,2219789315200.317,-94465020642.73279,1,0.013620898223548006
98,-1565113415966.5615,1797280477751.717,35031146712.39414,1,0.02079588315900638
99,-905837082018.0254,1268598168934.5906,225146178110.64136,1,0.029361409351822743
100,-345289231434.7443,873304407557.1031,332939681900.0466,1,0.031679352678491146
101,91580099336.13118,542755942382.6184,390370294374.0206,1,0.042516576777713144
102,563845400921.6234,285577129634.3807,487074924613.14307,1,0.03367774686993308
103,1057501366032.4181,259609574346.22324,549942313436.3892,1,0.039919260228999554
104,1530088697897.6724,199569467851.50772,524118691201.0688,1,0.034471479223250445
105,1988113789161.749,133319593144.54631,516996288640.8331,1,0.039770483867326234
106,2377177931236.632,8864569956.038397,545891770735.5933,1,0.0474341727527442
107,2684802944671.2383,-129973886154.45537,559592008989.2882,1,0.05551273148707453
108,2934450421388.9062,-358329041549.6857,590889985836.7036,1,0.04175014221123624
109,3159220684811.8374,-589015722417.4515,645210749417.883,1,0.03952588526990691
110,3382653804925.448,-700374524794.5674,682012142840.2462,1,0.024879119257294247
111,3599107141556.2773,-766907572000.2037,668689994285.4275,1,0.028087770300386616
112,3809338378977.014,-819120188382.2826,651759768111.5663,1,0.04159828813782801
113,4075296234897.707,-741067440374.1106,651537294240.1033,1,0.042412963104184576
114,4371731945504.131,-531547102107.0754,617572290739.2316,1,0.04781916684913301
115,4705620075121.544,-457913224982.54596,539389963358.2058,1,0.04696115134768869
116,5038963514610.138,-484154312719.44965,476895360387.7095,1,0.039586992022418055
117,5273021158200.211,-719908711433.8375,391287102500.2173,1,0.060580092322474355
118,5434713223384.572,-1069377612569.5347,307035594803.50385,1,0.042891401505718074
119,5465183507536.079,-1601794651913.5823,243240473781.47565,1,0.054289633078361654
120,5334428018854.946,-2225191263878.7803,149342910461.13773,1,0.047360462951490545
121,5023880709936.388,-2794452852241.5356,48167156412.06763,1,0.04825680757933354
122,4638851655169.83,-3142591143758.764,-47785661969.4845,1,0.04554077653877753
123,4048893996968.0913,-3386041849089.9287,-277947124167.1869,1,0.04735557437889659
124,3487359390922.034,-3521673893211.3613,-468158851389.18,1,0.04964499026184427
125,2827962674184.5796,-3616372050707.2354,-484046408603.6461,1,0.04914599542952913
126,2070369402689.743,-3575558056286.8945,-514121972068.94257,1,0.049390642064414625
127,1322786454140.7864,-2987490435701.675,-333124224739.9277,1,0.03717129909608269
128,741844473846.5276,-2515272346671.3687,-112979262809.83916,1,0.04272394810502633
129,332734288273.8207,-1751961875002.5186,-34998403008.104675,1,0.06144611399985572
130,89007975519.6141,-1309118283350.0635,74381907762.58652,1,0.06011666640880975
131,24613005866.319294,-1063786312914.37,196962123393.46252,1,0.05646163328168197
132,-44162936460.57127,-740842280490.1865,237896513526.21835,1,0.06179383542481248
133,-31288893118.53807,-697323085199.886,231711337101.2003,1,0.052709484992122635
134,-7693104918.183199,-785408729544.3552,250032826848.21118,1,0.06746151527844202
135,-24225951603.686234,-965856321851.3529,234222279428.5862,1,0.061087436710166365
136,-66578760655.95075,-1090637910661.7513,235875751572.41486,1,0.06599466659640701
137,-135731003867.04735,-1271142314168.6206,300338039190.80347,1,0.06928791791589134
138,-248920116385.12347,-1277792117339.8127,384832402815.4007,1,0.07172649928938157
